"SnapshotId","Active","Address","AuditType","ConnectionSystem","ConnectionType","DataStatus","EndDate","EndpointId","EndpointTemplate","HealthcareServiceId","LastUpdated","ManagingOrganisationId","Name","ProductId","ServiceId","StartDate","TemplateId","TimeOfChange"
"0200fd7b-fde0-458b-9439-bb96a09fc6da","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","a3521267-79ff-447f-b888-8a877d813e3a","","a537039c-eb4a-48c1-8da2-b7e6812231bd","2025-10-03T15:15:16.540Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ygm06","2000164409","2025-10-03T15:15:12.401Z","37a27880-85d7-4a68-8750-a21c0369cf5c","2025-10-30T16:12:54.106Z"
"cd0dd0d5-6b8e-4b62-939d-0e0b1347da0f","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","364cd334-3e14-4af9-864b-c6058a7a5a9f","","ca5ea702-95d9-48cc-8c80-f02a441fb36c","2025-07-24T13:14:45.681Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ygm06","2000160326","2025-07-24T13:14:45.681Z","37a27880-85d7-4a68-8750-a21c0369cf5c","2025-12-05T16:11:23.537Z"
"81bf624f-13e5-4e43-8753-6b2cd1d3711a","true","https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","37d0c066-d790-4a5a-95cc-cf63cdaf8955","{""ManagingOrganisationId"":{""S"":""2f594ac5-6bc8-4241-af41-ae0f92b88949""},""SearchField"":{""S"":""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""},""Address"":{""S"":""https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/""},""ConnectionType"":{""S"":""BARS""},""ConnectionSystem"":{""S"":""https://hl7.org/fhir/ValueSet/endpoint-connection-type""},""ProductId"":{""S"":""ygm04""},""LastUpdated"":{""S"":""2025-07-24T13:07:11.923Z""},""DataStatus"":{""N"":""0""},""DerivedEndpoints"":{""L"":[]},""IsPrivate"":{""BOOL"":false},""TemplateId"":{""S"":""26a1070e-c4d3-4ad3-887d-e63635497bd5""},""Name"":{""S"":""Cegedim""}}","cf5c774e-db5b-436e-b05e-e1287357ccd4","2026-01-06T16:26:28.633Z","2f594ac5-6bc8-4241-af41-ae0f92b88949","Cegedim","ygm04","2000137550","2026-01-06T16:26:27.453Z","26a1070e-c4d3-4ad3-887d-e63635497bd5","2026-04-22T15:39:18.577Z"
"33f799bb-323b-4535-b369-0f9dbb0728c8","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","29e4e8ed-50dd-439c-b70e-0f23daf533e8","","9ff6ab74-32fc-431d-ad25-ea52fb325418","2025-07-24T13:14:45.666Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ygm06","2000036717","2025-07-24T13:14:45.666Z","37a27880-85d7-4a68-8750-a21c0369cf5c","2026-01-30T16:09:05.589Z"
"d5d6264d-4931-474b-9815-5aef7f8a773b","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","dc8d9717-5968-47ea-9008-0c212b8fed0c","","117db769-14e4-48dd-8113-affcd8c3d16d","2025-07-24T13:14:45.671Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ygm06","2000155252","2025-07-24T13:14:45.671Z","37a27880-85d7-4a68-8750-a21c0369cf5c","2026-01-05T16:23:17.544Z"
"71127675-aeb8-448f-808d-78100de0bc48","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","8777f3fc-d052-43f7-9b40-f0fd7a38c257","","7947dc57-2da7-42db-93dd-00db572a6871","2025-07-24T13:14:45.672Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ygm06","2000023040","2025-07-24T13:14:45.672Z","37a27880-85d7-4a68-8750-a21c0369cf5c","2025-12-03T16:10:25.773Z"
"9dd9b33c-4e86-44a8-bb78-6325ea0776e9","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","c3d6856c-aa61-440e-a919-d050ef397723","","a427c12e-3582-496d-802d-f6b6bce63f24","2026-06-22T16:22:44.373Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","AC0","1505296596","2026-06-22T16:22:38.238Z","8de4e7a4-9aa8-4127-9a40-cd7389431311","2026-06-22T16:32:43.965Z"
"6fd1c4d6-6dbc-4e57-8e7e-b45ecd2a997d","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","dfa15189-4277-46fb-8fcf-0a9430b4f2db","","5b5a8cc7-7bc8-4ac6-ab03-61ae99fb6bb6","2025-07-24T13:14:45.678Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ygm06","2000112927","2025-07-24T13:14:45.678Z","37a27880-85d7-4a68-8750-a21c0369cf5c","2025-10-13T12:43:58.198Z"
"7427d2d1-81b7-4089-a939-65e8457aa77e","true","addressHere","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","f388abce-7a64-45ef-8423-68abc10a0b15","","548be954-c2eb-43f2-b10d-293854558f57","2025-07-24T13:14:45.668Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ygm06","2000109912","2025-07-24T13:14:45.668Z","37a27880-85d7-4a68-8750-a21c0369cf5c","2026-01-06T16:29:12.599Z"
"99e593e1-172c-4ef7-9c45-5964371832a1","true","to-delete","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","fbf97544-64de-4f4d-8f4c-f6159be3f0b0","","445b04ba-b81b-4a90-ae95-8e4a4c95e3c4","2026-06-22T16:32:43.979Z","006a5fed-30c1-42db-9256-aa033e39692c","to-delete","to-delete","2000076364","2026-06-22T16:22:38.238Z","4bd91c04-3dbc-42ba-89f2-8755af5dd272","2026-06-22T16:47:49.899Z"
"8bd95fee-b9e7-40fb-97e4-5dc152154c21","true","https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/","ALL","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","e347759a-5ab1-4796-b299-644955dcd0a8","{""ManagingOrganisationId"":{""S"":""2f594ac5-6bc8-4241-af41-ae0f92b88949""},""SearchField"":{""S"":""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""},""Address"":{""S"":""https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/""},""ConnectionType"":{""S"":""BARS""},""ConnectionSystem"":{""S"":""https://hl7.org/fhir/ValueSet/endpoint-connection-type""},""ProductId"":{""S"":""ygm04""},""LastUpdated"":{""S"":""2025-07-24T13:07:11.923Z""},""DataStatus"":{""N"":""0""},""DerivedEndpoints"":{""L"":[]},""IsPrivate"":{""BOOL"":false},""TemplateId"":{""S"":""26a1070e-c4d3-4ad3-887d-e63635497bd5""},""Name"":{""S"":""Cegedim""}}","6f123a72-2c8b-4f82-b76b-c2ae9760e019","2026-01-21T16:14:53.713Z","2f594ac5-6bc8-4241-af41-ae0f92b88949","Cegedim","ygm04","2000024026","2026-01-21T16:14:52.338Z","26a1070e-c4d3-4ad3-887d-e63635497bd5","2026-02-27T16:13:17.302Z"
