"SnapshotId","Active","AuditType","DataStatus","Endpoints","HealthcareServiceId","LastUpdated","Name","ProviderOrganisationId","ServiceId","ServiceIdType","TimeOfChange"
"59977ae7-5bd3-47c7-a258-e6639834eef3","false","ALL","0","[]","4e6b5d85-9815-4b86-a30b-fbba4affc2ce","2025-07-24T13:13:53.358Z","""Pharm+: Pharmacy D (Wellington Road, Dewsbury)""","27126b22-26d1-457f-987f-6f4d0a7e57d0","2000034854","https://fhir.nhs.uk/id/service-id","2026-01-23T16:28:18.373Z"
"689f9f76-0344-4ac0-949a-2be0932f2530","false","ALL","0","[]","559855ff-fa6f-4a3a-b18c-ccdf2d45a37b","2025-07-24T13:13:53.361Z","Pharm+: Well Pharmacy Sherborne","c0695d06-8bea-4cb4-9b7a-90cccbc9bd34","2000039391","https://fhir.nhs.uk/id/service-id","2026-04-24T15:13:48.224Z"
"1ad4420c-0675-4dad-9476-9ec05b7c2a9b","false","ALL","0","[]","55c5aee7-cb17-4807-bb23-355022d91eb3","2025-09-05T15:02:20.746Z","Pharm+:  Cheylesmore Pharmacy - Coventry","013cd0de-bd0f-4fe5-a1da-44a4609d63b5","2000166551","https://fhir.nhs.uk/id/service-id","2026-01-09T16:20:46.738Z"
"a2d3c901-5993-470d-948e-90606c1e1a37","false","ALL","0","[]","39dade5a-c781-447f-abc8-93ea722483a6","2025-07-24T13:13:53.356Z","""Pharm+: Kingston Pharmacy (High Street, Messingham)""","ee14540e-32fb-4b05-94a9-5a5ddec95b29","2000035289","https://fhir.nhs.uk/id/service-id","2026-04-02T14:52:37.971Z"
"ce3686ff-2fb3-4184-bc5d-636f98e5d1ef","false","ALL","0","[]","07ade02a-a8b9-41a9-8f04-37357d234e20","2025-07-24T13:13:53.363Z","""Pharm+: Yardley Chemists, Burley House, 15 High Street, Rayleigh, Essex""","f0e5dbfe-3ef9-4d23-a65f-3e8b5cfbd1dc","2000038901","https://fhir.nhs.uk/id/service-id","2026-02-06T16:18:29.752Z"
"0ecc390a-66c5-42bb-8141-d8408c8e61e8","false","ALL","0","[]","b4b6d022-926c-480f-84e8-ec966f589964","2025-07-24T13:13:53.357Z","Pharm+: Lowerhouse Pharmacy - Lowerhouse Lane - Norris Green","19e709d2-741a-4a60-94dc-3160592e93f1","2000137988","https://fhir.nhs.uk/id/service-id","2026-02-06T16:16:12.140Z"
"426c61ed-225d-40d6-9845-16f591eda718","false","ALL","0","[]","9f242701-eb63-4f32-aad3-c077c311a876","2025-07-24T13:13:53.356Z","""Pharm+: Lloyds Pharmacy (Watson Street, Gateshead)""","0537fa49-6c98-41eb-ab11-906f18dc4832","2000141228","https://fhir.nhs.uk/id/service-id","2026-03-06T16:08:15.790Z"
"1cb2d6a3-392b-4694-a8fe-bbe6905166d0","false","ALL","0","[]","12042a45-d556-4ffe-8e7e-415dd076acdb","2025-07-24T13:13:53.355Z","""Pharm+: Felkris Chemist (Huddersfield Road, Wyke)""","746e6b77-b9a9-46b6-ac39-ff7fa8b93f76","2000033725","https://fhir.nhs.uk/id/service-id","2026-03-13T16:07:18.290Z"
"bbc2c890-0c36-4969-a16c-515a42902d60","false","ALL","0","[]","145e3f2e-42fa-415a-9ed9-2c573112da3c","2025-07-24T13:13:53.357Z","""Pharm+: Murrays Pharmacy, Cross Street Health Centre, Dudley""","03e6051e-35be-477a-ba3d-85d9fd38cd22","2000030495","https://fhir.nhs.uk/id/service-id","2026-07-03T15:13:45.300Z"
"f872977d-e778-40fa-8597-61d2a92b3e8f","false","ALL","0","[]","771332f2-4daf-4fb8-9d89-411c7f9a503c","2025-07-24T13:13:53.357Z","""Pharm+: Ormay Chemist, Bexley, London""","e1bc8822-2c0f-4438-8f15-eedb0694d8fb","2000021569","https://fhir.nhs.uk/id/service-id","2026-01-09T16:22:19.661Z"
"f8b18201-f7b5-4bc3-bfdc-442977e4c319","false","ALL","0","[]","bcbf49cb-7378-474c-a960-7605bcff1255","2025-07-24T13:13:53.357Z","""Pharm+: Murrays Pharmacy, Cornbow Shopping, Halesowen""","b2662cc5-7b51-4c0a-93ff-045a2a69dcce","2000030573","https://fhir.nhs.uk/id/service-id","2026-07-03T15:14:55.760Z"
"02fa690b-a289-4473-bef5-07d58d33419d","false","ALL","0","[]","fb7c5e17-9092-4377-9e12-ffe00167ffb9","2025-07-24T13:13:53.357Z","Pharm+: NW Pharma Ltd t/a Thetford Pharmacy (Thetford)","920a9c09-95a1-4132-82ef-ca590b791247","2000155344","https://fhir.nhs.uk/id/service-id","2025-10-03T14:36:47.343Z"
"df896634-f849-4525-bbf7-dcc57ba6ec43","false","ALL","0","[]","b18e8bf9-e0c3-4074-8076-01d8c9d61355","2025-07-24T13:13:53.362Z","""Pharm+: Brigg Pharmacy (Springs Parade, Brigg)""","6c3d75e4-1229-4706-9d9a-5bdaaf607303","2000158662","https://fhir.nhs.uk/id/service-id","2025-08-04T08:59:34.784Z"
"ad56bbbb-6fb6-4719-af72-5a38de48b6bc","false","ALL","0","[]","54cff904-b08c-424e-ac7d-a628e5cde60a","2025-07-24T13:13:53.363Z","""Pharm+: Live Well Pharmacy (Acre House Avenue, Huddersfield)""","52e8dc41-ff64-43f2-81e4-dc4dabdc19fa","2000035942","https://fhir.nhs.uk/id/service-id","2025-09-12T15:12:32.954Z"
"7c97b73d-4a9b-4788-830d-c90d17d69269","false","ALL","0","[]","0aa8f466-800b-4cec-8058-56b07d7091bf","2025-07-24T13:13:53.358Z","""Pharm+: Pearcare Pharmacy, Kingston, London""","5c4518e6-3237-4947-9d19-cebb1f500caa","2000024588","https://fhir.nhs.uk/id/service-id","2026-03-13T16:08:00.308Z"
"8be2bf12-8963-4465-9c85-252ed05e9fc1","false","ALL","0","[]","41e35e7e-b9e0-4db6-aff8-5ee8f99958e0","2025-07-24T13:13:53.351Z","""Pharm+: Abrar Rehman Pharmacy (Barkerend Road, Bradford)""","cbc2d294-5fb2-4c0e-ac22-3c9dadd1fc25","2000154545","https://fhir.nhs.uk/id/service-id","2026-03-06T16:10:25.765Z"
"29526681-04fb-4774-bae9-9d9339cc5eb7","false","ALL","0","[]","b0fc3173-3f7c-4d18-b213-76a69f8c5155","2025-07-24T13:13:53.356Z","""Pharm+: Jhoots, Parlaunt Road, Langley, Berkshire""","a3c408e1-15db-4fb4-ad90-20b743c77a1f","2000038271","https://fhir.nhs.uk/id/service-id","2026-06-12T15:06:54.472Z"
"837b7d8d-a4f7-45f3-8070-2087310eb5c5","false","ALL","0","[]","f4cc95cd-f811-438e-827e-035f797c3075","2025-07-24T13:13:53.363Z","""Pharm+: Pickfords Pharmacy, 4 Lockerbie Walk, LE4 7ZX""","025c40fb-75f9-490d-bae2-e206efa087c3","2000020476","https://fhir.nhs.uk/id/service-id","2025-12-05T16:10:25.814Z"
"901a3c66-eb33-4d02-8500-0762d87ec942","false","ALL","0","[]","7e3fe20e-78e4-4f04-96f3-61bb93620b09","2025-07-24T13:13:53.359Z","Pharm+: Surrey - Guildford Chemist - Guildford","c13a3d2e-ab1c-457b-af5c-7c8421882860","2000039534","https://fhir.nhs.uk/id/service-id","2025-11-14T17:16:59.911Z"
"bd29b0c0-3a3b-4a63-b811-541000c42866","false","ALL","0","[]","0a6859fb-5953-4bce-b47d-89aa00c4a109","2025-07-24T13:13:53.358Z","Pharm+: PCP Direct - Tamworth","6bb6c8bd-96cc-4ca1-8ab3-938e8dddc9ec","2000056246","https://fhir.nhs.uk/id/service-id","2025-08-10T20:53:44.195Z"
"adaa89f4-7119-4cda-9292-072fd5f98c1b","false","ALL","0","[]","c9227460-8788-4b44-b769-016e6daf5927","2025-07-24T13:13:53.349Z","""Pharm+: Cheema Pharmacy, Ealing, London""","5ae72061-7f8c-49a3-9481-ac253586b02b","2000022122","https://fhir.nhs.uk/id/service-id","2026-01-30T16:09:12.454Z"
"6f2c526d-6737-42f8-9249-02ebaeb6cdf0","false","ALL","0","[]","606b0885-d285-41e9-ba30-be5a5d8b8c6e","2025-07-24T13:13:53.350Z","""Pharm+: S and A Pharmacy, Harrow, London""","78e909fb-8c6d-43ce-86f5-2e6ec6bd3399","2000023128","https://fhir.nhs.uk/id/service-id","2025-08-10T20:51:42.044Z"
"1ca12c24-b657-4755-acd7-6623caabfb3e","false","ALL","0","[]","65ba352e-2736-4d93-a1c3-c04bf6e6ab69","2025-07-24T13:13:53.354Z","Pharm+: Day Lewis (Filton) - South Gloucestershire","b1671b0c-5648-435f-9172-7ff320ca5d4b","2000029873","https://fhir.nhs.uk/id/service-id","2026-05-15T15:01:37.251Z"
"0037e1dc-d048-4efd-9ceb-db146e15ab77","false","ALL","0","[]","826d2fe5-b343-4649-8dfb-8bd824621037","2025-07-24T13:13:53.356Z","Pharm+: Jhoots Pharmacy Weymouth","22e60676-142d-44e1-99ee-eef5242d8a5f","2000141027","https://fhir.nhs.uk/id/service-id","2026-01-30T16:10:12.205Z"
"b16f8989-df40-4e00-aa14-6cfcbbbd0305","false","ALL","0","[]","6bd9a86b-3827-4c2f-b455-7832efcab299","2025-07-24T13:13:53.361Z","""Pharm+: Well Pharmacy - Somercotes, Derbyshire""","14d7b9a8-8b71-468e-b9dc-43f53ad2d5b5","2000020343","https://fhir.nhs.uk/id/service-id","2026-03-06T16:08:48.836Z"
"047c4733-0035-4604-afaf-a98db4ad781a","false","ALL","0","[]","8ca526d3-45a0-44f3-8a4f-a1bfd0a00a77","2025-07-24T13:13:53.361Z","Pharm+: Well Pharmacy - Talke Pits","c3eaa37a-9ec3-42e5-ab79-b28d86868e91","2000030433","https://fhir.nhs.uk/id/service-id","2026-07-03T15:14:05.840Z"
"b8d16733-0f2e-4300-b2c6-22a832ceb8a3","false","ALL","0","[]","53304b37-cd33-4726-b429-e651c1d587e4","2025-07-24T13:13:53.363Z","Pharm+: Pickfords Pharmacy (Corby) - Northants","0b275926-8156-4c00-9406-ac596e1313e5","2000020241","https://fhir.nhs.uk/id/service-id","2025-10-10T15:03:20.805Z"
"35696114-4771-4b97-8aa9-5f83ebfd4afa","false","ALL","0","[]","9011c463-9400-418e-aff9-09f93da46815","2025-07-24T13:13:53.356Z","Pharm+: Jhoots Pharmacy - Torpoint","e705b4a3-59fd-4577-8215-5f3fc72f6e1b","2000140740","https://fhir.nhs.uk/id/service-id","2026-02-20T16:24:37.009Z"
"83fc6a1d-0680-41ff-b681-04fe8574aa48","false","ALL","0","[]","37702bd6-09e6-4280-bb0f-c1ce65e19e46","2025-07-24T13:13:53.357Z","""Pharm+: Medwin Pharmacy (Harrison Street, Rotherham)""","f3e399b2-c365-477c-a672-3d6f9cfa35e1","2000035865","https://fhir.nhs.uk/id/service-id","2025-10-10T15:02:55.237Z"
"dc286e62-16a5-4331-969d-a3cea047d518","false","ALL","0","[]","ad1d0d64-f08a-4541-94b8-435f53d32ff7","2025-07-24T13:13:53.362Z","""SUS - Pharm+: Lloyds Pharmacy - Sheringham, Norfolk""","5b470ed5-3b8c-482d-a0e0-c5c01bf539b0","2000141237","https://fhir.nhs.uk/id/service-id","2026-04-02T14:53:46.860Z"
"51c4c440-babb-4361-a584-7846444472ee","false","ALL","0","[]","be5b39d9-e536-4200-a03e-ef92d147924e","2025-07-24T13:13:53.352Z","Pharm+: Bodriggy Pharmacy - Hayle","026c4aad-e5e0-4033-ab86-bcb51b2e81b9","2000154483","https://fhir.nhs.uk/id/service-id","2026-04-10T15:05:24.135Z"
"0911bc7c-1784-4cf0-af80-45936f13f2ea","false","ALL","0","[]","021aa7db-b2f3-42dc-94ed-fb45006090b2","2025-07-24T13:13:53.362Z","Pharm+: Allied Pharmacy - Common Edge","211b1789-7735-4b9a-8ad1-6c94d8bf4ffa","2000158790","https://fhir.nhs.uk/id/service-id","2025-12-12T16:11:51.765Z"
"66b27f16-60de-44dc-bc8e-3c20d7029fc5","false","ALL","0","[]","24e5a9f0-ba5c-40ec-a4c0-b96f2641c3ab","2025-07-24T13:13:53.350Z","Pharm+: Pauls Pharmacy (Nechells-Birmingham)","675bdcf7-0eaf-4a75-8692-4c304db131a4","2000031522","https://fhir.nhs.uk/id/service-id","2026-02-20T16:24:23.698Z"
