"EndpointId","Active","Address","ConnectionSystem","ConnectionType","DataStatus","EndDate","EndpointTemplate","HealthcareServiceId","LastUpdated","ManagingOrganisationId","Name","PartitionKey","ProductId","SearchField","ServiceId","StartDate","TemplateId"
"16c8e0f4-538b-4d13-80e0-dbec070ddbcf","true","https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","{""ManagingOrganisationId"":{""S"":""2f594ac5-6bc8-4241-af41-ae0f92b88949""},""SearchField"":{""S"":""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""},""Address"":{""S"":""https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/""},""ConnectionType"":{""S"":""BARS""},""ConnectionSystem"":{""S"":""https://hl7.org/fhir/ValueSet/endpoint-connection-type""},""ProductId"":{""S"":""ygm04""},""LastUpdated"":{""S"":""2025-07-24T13:07:11.923Z""},""DataStatus"":{""N"":""0""},""DerivedEndpoints"":{""L"":[]},""IsPrivate"":{""BOOL"":false},""TemplateId"":{""S"":""26a1070e-c4d3-4ad3-887d-e63635497bd5""},""Name"":{""S"":""Cegedim""}}","3adc94a9-9d60-48d5-8d0f-d321854f023e","2026-06-01T16:04:06.481Z","2f594ac5-6bc8-4241-af41-ae0f92b88949","Cegedim","ALL","ygm04","""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""","2000114950","2026-06-01T16:04:05.168Z","26a1070e-c4d3-4ad3-887d-e63635497bd5"
"bd261cbc-6f4c-4572-aa27-345821befafd","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","16b7ebd1-feae-4457-8fc7-9f433de802e2","2025-07-24T13:14:45.661Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ALL","ygm06","""pharmoutcomes addresshere  37a27880-85d7-4a68-8750-a21c0369cf5c ygm06 ""","2000034776","2025-07-24T13:14:45.661Z","37a27880-85d7-4a68-8750-a21c0369cf5c"
"e68c33c5-448e-4c3f-85a3-f947d11a4c84","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","7f6d8752-fe82-43d5-b0b0-6d9f8d54791f","2025-07-24T13:14:45.658Z","2af3b6ed-c929-4b5d-be4b-1dab43c4c514","Sonar","ALL","8hk48","""sonar addresshere  0da0ee94-a20e-4b31-994b-72119d099ad0 8hk48 ""","2000024655","2025-07-24T13:14:45.658Z","0da0ee94-a20e-4b31-994b-72119d099ad0"
"bae5f8af-f6db-4903-86d7-697aedf11d61","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","0b543280-8887-4b27-9573-49d04e02ed9b","2025-07-24T13:14:45.657Z","2af3b6ed-c929-4b5d-be4b-1dab43c4c514","Sonar","ALL","8hk48","""sonar addresshere  0da0ee94-a20e-4b31-994b-72119d099ad0 8hk48 ""","2000022445","2025-07-24T13:14:45.657Z","0da0ee94-a20e-4b31-994b-72119d099ad0"
"73e37566-ba52-4493-9173-6112248ff665","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","967eea81-58ee-420a-850d-e269cc3a440e","2025-07-24T13:14:45.658Z","2af3b6ed-c929-4b5d-be4b-1dab43c4c514","Sonar","ALL","8hk48","""sonar addresshere  0da0ee94-a20e-4b31-994b-72119d099ad0 8hk48 ""","2000156565","2025-07-24T13:14:45.658Z","0da0ee94-a20e-4b31-994b-72119d099ad0"
"c77464b8-f83c-46b3-a79e-8fa3f7851bc1","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","11ab054c-0e3c-420c-b068-4638fad40471","2025-07-24T13:14:45.669Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ALL","ygm06","""pharmoutcomes addresshere  37a27880-85d7-4a68-8750-a21c0369cf5c ygm06 ""","2000030270","2025-07-24T13:14:45.669Z","37a27880-85d7-4a68-8750-a21c0369cf5c"
"5fa2631b-f191-4507-92fa-7fbcc0c38b27","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","c8e48e1b-90d8-4e4d-86c4-7f4a1bf6740a","2025-07-24T13:14:45.681Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ALL","ygm06","""pharmoutcomes addresshere  37a27880-85d7-4a68-8750-a21c0369cf5c ygm06 ""","2000161445","2025-07-24T13:14:45.681Z","37a27880-85d7-4a68-8750-a21c0369cf5c"
"ddcb7c0b-6594-4dc6-8a6a-5ebd9aec25ed","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","c450451f-09c7-4037-adf5-9e4a3a4cbc3a","2025-07-24T13:14:45.663Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ALL","ygm06","""pharmoutcomes addresshere  37a27880-85d7-4a68-8750-a21c0369cf5c ygm06 ""","2000020741","2025-07-24T13:14:45.663Z","37a27880-85d7-4a68-8750-a21c0369cf5c"
"783e7645-4ced-4c13-86e7-1c8cc32a3903","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","fbe72b03-7463-4947-ba86-6a8f3c1128fa","2025-12-02T16:15:59.076Z","2af3b6ed-c929-4b5d-be4b-1dab43c4c514","Sonar","ALL","8hk48","""sonar addresshere  0da0ee94-a20e-4b31-994b-72119d099ad0 8hk48 ""","2000168937","2025-12-02T16:15:40.357Z","0da0ee94-a20e-4b31-994b-72119d099ad0"
"288baa73-b74b-46c2-a3fc-8ffb38ee6103","true","addressHere","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","","3eb84c36-a58e-44d9-bafe-d4713c384bda","2025-07-24T13:14:45.673Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","ALL","ygm06","""pharmoutcomes addresshere  37a27880-85d7-4a68-8750-a21c0369cf5c ygm06 ""","2000114830","2025-07-24T13:14:45.673Z","37a27880-85d7-4a68-8750-a21c0369cf5c"
"f84caeb5-2784-471c-8574-36bec8d26bb5","true","https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","","{""ManagingOrganisationId"":{""S"":""2f594ac5-6bc8-4241-af41-ae0f92b88949""},""SearchField"":{""S"":""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""},""Address"":{""S"":""https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/""},""ConnectionType"":{""S"":""BARS""},""ConnectionSystem"":{""S"":""https://hl7.org/fhir/ValueSet/endpoint-connection-type""},""ProductId"":{""S"":""ygm04""},""LastUpdated"":{""S"":""2025-07-24T13:07:11.923Z""},""DataStatus"":{""N"":""0""},""DerivedEndpoints"":{""L"":[]},""IsPrivate"":{""BOOL"":false},""TemplateId"":{""S"":""26a1070e-c4d3-4ad3-887d-e63635497bd5""},""Name"":{""S"":""Cegedim""}}","ca973802-0f8b-40b9-93f6-d7ed472bb653","2026-02-11T16:08:53.020Z","2f594ac5-6bc8-4241-af41-ae0f92b88949","Cegedim","ALL","ygm04","""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""","2000036724","2026-02-11T16:08:51.761Z","26a1070e-c4d3-4ad3-887d-e63635497bd5"
"a5e21d14-6609-47a8-8b52-029ce3778d9e","true","https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","2026-04-22T15:40:17.423Z","{""ManagingOrganisationId"":{""S"":""2f594ac5-6bc8-4241-af41-ae0f92b88949""},""SearchField"":{""S"":""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""},""Address"":{""S"":""https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/""},""ConnectionType"":{""S"":""BARS""},""ConnectionSystem"":{""S"":""https://hl7.org/fhir/ValueSet/endpoint-connection-type""},""ProductId"":{""S"":""ygm04""},""LastUpdated"":{""S"":""2025-07-24T13:07:11.923Z""},""DataStatus"":{""N"":""0""},""DerivedEndpoints"":{""L"":[]},""IsPrivate"":{""BOOL"":false},""TemplateId"":{""S"":""26a1070e-c4d3-4ad3-887d-e63635497bd5""},""Name"":{""S"":""Cegedim""}}","705ca3d4-4633-4a81-aa21-b91bcb418356","2026-04-22T15:40:18.076Z","2f594ac5-6bc8-4241-af41-ae0f92b88949","Cegedim","ALL","ygm04","""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 ""","2000115424","2026-01-06T16:24:51.577Z","26a1070e-c4d3-4ad3-887d-e63635497bd5"
