"SnapshotId","Active","Alias","AuditType","DataStatus","Endpoints","EndpointTemplates","HealthcareServices","IsSupplierOnly","LastUpdated","Name","ODSCode","OrganisationId","TimeOfChange"
"3dcd8090-bc0d-4764-91c3-200c1b1e9496","false","EVEREST PHARMACY - SWAN LANE","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.858Z","EVEREST PHARMACY - SWAN LANE","FFC66","55598b28-9f9b-4967-a486-fd4cde0410b9","2025-12-05T16:10:58.231Z"
"7749c6b6-5de6-46f2-b05c-18441ea888ce","false","JHOOTS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","JHOOTS PHARMACY","FKG39","e1ccef73-89f5-42db-a2bc-458c4ac8f7ab","2026-05-01T15:14:35.995Z"
"3a123c2d-7176-4723-876a-b3bdbe82d620","false","LLOYDSPHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.843Z","LLOYDSPHARMACY","FVX40","2db85bcf-15e2-46e7-81a5-0aa4a5f19d9e","2026-02-13T16:24:17.042Z"
"2918f2b3-34bc-4c9d-a3c2-ef9fc4c47495","false","CHEMIST @ SOUTHEND","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.840Z","CHEMIST @ SOUTHEND","FEA52","41cfc29e-3044-4d6a-aae1-0283943b2f78","2026-01-30T16:09:05.618Z"
"a0ff8f4f-9cc7-4b63-a43b-2afb93df7f91","false","DEREHAM PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.843Z","DEREHAM PHARMACY","FFC26","aac511a7-94a3-4023-a2b0-b5027a625b5b","2026-03-06T16:09:47.130Z"
"4142b72f-44c8-4af1-9384-efc7389b40c7","false","PAYDENS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.843Z","PAYDENS PHARMACY","FYX54","f1e580e6-bbc3-4585-8131-0136f23f4923","2026-02-20T16:23:50.222Z"
"49db7e39-a289-4b81-ba3f-a3918f6ea1d2","false","JHOOTS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","JHOOTS PHARMACY","FNF93","6c329ed6-279f-49ce-812c-3589056591f5","2026-06-26T15:04:10.337Z"
"c1a9e98b-fc82-4d16-9188-cce6ecf0c066","false","M PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.844Z","M PHARMACY","FDC71","8a9e110f-b9ed-4eb6-8930-30ed4877acf0","2026-03-06T16:07:29.698Z"
"e5ec2cdd-7366-41e6-94fc-8a631934c6bd","false","BRUTONS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.858Z","BRUTONS PHARMACY","FR028","311ef8e9-f5bb-4da4-b91b-4d07d8172366","2026-02-20T16:25:03.281Z"
"e6fb974d-11c4-4643-8e5d-90e2a9fc7c98","false","CHURCH CROOKHAM PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.840Z","CHURCH CROOKHAM PHARMACY","FN242","26742ad0-9035-4aa8-8e3e-d986e7703e98","2026-05-15T15:01:50.484Z"
"c2f42d89-bdec-461a-9ef3-ad07fb544d0e","false",""" Air Balloon Pharmacy - Bristol""","ALL","0","[]","[]","[]","true","2026-03-06T16:11:03.640Z",""" Air Balloon Pharmacy - Bristol""","FN693","52607e5e-6694-42a7-aded-44172461606e","2026-04-10T15:05:42.728Z"
"3a1dec48-a290-426d-8e3b-d5f8cbd5d8c4","false","STEVENS CHEMIST","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.846Z","STEVENS CHEMIST","FMK62","74922f68-c09e-41d3-9830-64a8832dc2d2","2025-11-07T18:09:43.859Z"
"d0435ff0-915b-44ca-a0bb-40f156974744","false","SOUTHAM PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.846Z","SOUTHAM PHARMACY","FFJ16","8c5c7f62-c860-4c72-a05d-c2927dc37211","2025-08-10T20:54:08.737Z"
"c4cdc49e-6777-497d-94e5-53add785b6ae","false","JHOOTS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","JHOOTS PHARMACY","FJK85","bd71c8c0-628c-4460-bd0b-a3a244c775e3","2026-02-06T16:15:44.919Z"
"2828ab3e-9e46-4855-a398-a353f7184894","false",""" Moor Park Pharmacy - Preston""","ALL","0","[]","[]","[]","true","2025-09-05T15:02:20.605Z",""" Moor Park Pharmacy - Preston""","FRN37","e2ef08c2-a17f-42c0-9090-30f76e1c6337","2025-09-12T15:12:26.848Z"
"d62f9336-bbd8-4054-8ffd-70cab7236ebd","false","DAY LEWIS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.841Z","DAY LEWIS PHARMACY","FH527","627d23c4-3a4f-472c-839b-5647b44d76d2","2026-03-20T16:13:22.042Z"
"52220390-526c-487d-8a64-edcecdba792f","false","JHOOTS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.842Z","JHOOTS PHARMACY","FW799","87bf0025-056f-4665-b76c-d42eac1e5591","2025-12-12T16:12:06.681Z"
"40095ee9-051a-4c29-86ef-a238775fff5e","false","DALSTON PHARMACY LTD","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.841Z","DALSTON PHARMACY LTD","FWW89","91adba0c-1d16-4fd3-a424-25e000da336f","2026-02-06T16:19:36.275Z"
"2be3982c-ec6e-486b-b84e-efcb0a2a7bd3","false","LOWER HOUSE PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.843Z","LOWER HOUSE PHARMACY","FG868","19e709d2-741a-4a60-94dc-3160592e93f1","2026-02-06T16:16:12.154Z"
"a184b024-3354-49c5-ab3d-9d91e6855326","false","DAY LEWIS PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.841Z","DAY LEWIS PHARMACY","FGT36","d57d205e-5de5-4504-81be-a60e0b5bd49f","2026-03-27T16:04:28.623Z"
"c9dd1170-19aa-449d-b467-755de1b93262","false","RUSHDEN PHARMACY","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.846Z","RUSHDEN PHARMACY","FF272","e6836434-84dc-464a-b148-c1acee5ecafc","2025-10-10T15:03:52.847Z"
"3f151553-f233-4dc8-8d84-1428c8107192","false","CHAUHAN'S CHEMIST","ALL","0","[]","[]","[]","true","2025-07-24T13:07:42.840Z","CHAUHAN'S CHEMIST","FD099","9cf5f526-c57b-44e4-b660-10b1688aa581","2025-08-10T20:52:42.893Z"
