"OrganisationId","Active","AdditionalSearch","Alias","DataStatus","Endpoints","EndpointTemplates","HealthcareServices","IsSupplierOnly","LastUpdated","Name","ODSCode","SearchField"
"45b78f9f-9f92-487b-a8c0-8be4bb5615a5","false","pharm+: boots 16 18 potter street bishops stortford hertfordshire 2000033123","BOOTS","0","[]","[]","[]","false","2025-07-24T13:07:42.838Z","BOOTS","FRV59","boots frv59 boots pharm+: boots 16 18 potter street bishops stortford hertfordshire 2000033123"
"e6a96242-f6a2-4584-896c-e97d259ddbd6","false","""pharm+: manor pharmacy - chapel street, salford 2000026929""","MANOR PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.843Z","MANOR PHARMACY","FVR47","""manor pharmacy fvr47 manor pharmacy pharm+: manor pharmacy - chapel street, salford 2000026929"""
"d432edf3-0340-4b1c-8595-6a424e75c2a1","false","""pharm+: asda pharmacy (market street, sheffield) 2000034032""","ASDA PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.837Z","ASDA PHARMACY","FRM95","""asda pharmacy frm95 asda pharmacy pharm+: asda pharmacy (market street, sheffield) 2000034032"""
"46c41eb9-c4d3-4a5f-9d2a-4974b4e06560","false","pharm+: copperhouse pharmacy (hayle) - kernow 2000156979","COPPERHOUSE PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.858Z","COPPERHOUSE PHARMACY","FDT13","copperhouse pharmacy fdt13 copperhouse pharmacy pharm+: copperhouse pharmacy (hayle) - kernow 2000156979"
"36027af8-2eb5-402d-9529-972815c093f0","false","pharm+: roan healthcare ltd t/a the medicine box loughborough university 2000019815","THE MEDICINE BOX","0","[]","[]","[]","false","2025-07-24T13:07:42.845Z","THE MEDICINE BOX","FL473","the medicine box fl473 the medicine box pharm+: roan healthcare ltd t/a the medicine box loughborough university 2000019815"
"a50702ad-6570-4e23-b059-4b9806ac64db","false","pharm+: pharmacyhaus - gatley - cheshire 2000057279","PHARMACYHAUS.COM","0","[]","[]","[]","false","2025-07-24T13:07:42.845Z","PHARMACYHAUS.COM","FWN20","pharmacyhaus.com fwn20 pharmacyhaus.com pharm+: pharmacyhaus - gatley - cheshire 2000057279"
"2d8aae95-c6f5-49dd-8577-1e6e456dc777","false","""pharm+: clinichem pharmacy, central london 2000022432""","CLINICHEM PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.840Z","CLINICHEM PHARMACY","FYR46","""clinichem pharmacy fyr46 clinichem pharmacy pharm+: clinichem pharmacy, central london 2000022432"""
"5382826b-4918-4e27-9423-d11aaeac5d8e","false","""pharm+: day lewis, hurricane way, woodley, reading, berkshire 2000037603""","DAY LEWIS PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.841Z","DAY LEWIS PHARMACY","FPA84","""day lewis pharmacy fpa84 day lewis pharmacy pharm+: day lewis, hurricane way, woodley, reading, berkshire 2000037603"""
"3ecf9ac0-bdda-4cb0-b219-6020f2878951","false","pharm+: vckp limited t/a hurst green pharmacy 2000039314","HURST GREEN PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.836Z","HURST GREEN PHARMACY","FM583","hurst green pharmacy fm583 hurst green pharmacy pharm+: vckp limited t/a hurst green pharmacy 2000039314"
"cb35eafe-0abf-4de6-8ff0-376d9494fee2","false","pharm+: rowlands pharmacy - old rough lane - kirkby 2000027173","ROWLANDS PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.845Z","ROWLANDS PHARMACY","FPM61","rowlands pharmacy fpm61 rowlands pharmacy pharm+: rowlands pharmacy - old rough lane - kirkby 2000027173"
"6c8349be-ef16-49c5-a258-0e2f0994c6da","false","""pharm+: market harborough medical services, 67 coventry road, le16 9bx 2000065363""","MARKET HARBOROUGH PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.844Z","MARKET HARBOROUGH PHARMACY","FVF37","""market harborough pharmacy fvf37 market harborough pharmacy pharm+: market harborough medical services, 67 coventry road, le16 9bx 2000065363"""
"70f76be2-7509-4ea7-8e10-a793bddacca6","false","pharm+: everest pharmacy delph 2000164496","EVEREST PHARMACY - DELPH","0","[]","[]","[]","false","2025-07-24T13:07:42.859Z","EVEREST PHARMACY - DELPH","FR284","everest pharmacy - delph fr284 everest pharmacy - delph pharm+: everest pharmacy delph 2000164496"
"1edec2a8-b526-45b4-915f-f5740dacf005","false","pharm+: park view pharmacy 2000106092","PARK VIEW PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.859Z","PARK VIEW PHARMACY","FR039","park view pharmacy fr039 park view pharmacy pharm+: park view pharmacy 2000106092"
"2cbc03f1-5187-4e85-b2a8-98f3a95db1b4","false","""pharm+: brutons pharmacy, bilston 2000137310""","BRUTONS PHARMACY (BILSTON)","0","[]","[]","[]","false","2025-07-24T13:07:42.840Z","BRUTONS PHARMACY (BILSTON)","FAA92","""brutons pharmacy (bilston) faa92 brutons pharmacy (bilston) pharm+: brutons pharmacy, bilston 2000137310"""
"ffb462eb-136a-40af-91dd-152912494ef4","false","""pharm+: sumer pharmacy, central london 2000082423""","SUMER PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.835Z","SUMER PHARMACY","FE354","""sumer pharmacy fe354 sumer pharmacy pharm+: sumer pharmacy, central london 2000082423"""
"6c8db810-e605-468b-9a32-e1f57a84a30f","false","""pharm+: muswell hill pharmacy, haringey, london 2000023275""","MUSWELL HILL PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.835Z","MUSWELL HILL PHARMACY","FNP72","""muswell hill pharmacy fnp72 muswell hill pharmacy pharm+: muswell hill pharmacy, haringey, london 2000023275"""
"d38a9300-6510-4a5b-97bd-17470415b913","false","pharm+: springs pharmacy - clowne derbyshire 2000020161","PEAK PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.846Z","PEAK PHARMACY","FE155","peak pharmacy fe155 peak pharmacy pharm+: springs pharmacy - clowne derbyshire 2000020161"
"302f3ebe-40d9-4331-a66c-0e56355978a4","false","""pharm+: the learning pharmacy, barnet, london 2000023188""","I WARMAN FREED","0","[]","[]","[]","false","2025-07-24T13:07:42.856Z","I WARMAN FREED","FPN49","""i warman freed fpn49 i warman freed pharm+: the learning pharmacy, barnet, london 2000023188"""
"1c82d54a-c866-43a7-bb8b-566376283c31","false","""pharm+: tesco, hamble lane, bursledon 2000038709""","TESCO INSTORE PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.855Z","TESCO INSTORE PHARMACY","FH482","""tesco instore pharmacy fh482 tesco instore pharmacy pharm+: tesco, hamble lane, bursledon 2000038709"""
"83f10541-57e3-46e9-9d21-43546ffeb864","false","pharm+: harborough field pharmacy (rushden) - northants 2000019666","HARBOROUGH FIELD PHARMACY","0","[]","[]","[]","false","2025-07-24T13:07:42.842Z","HARBOROUGH FIELD PHARMACY","FN328","harborough field pharmacy fn328 harborough field pharmacy pharm+: harborough field pharmacy (rushden) - northants 2000019666"
