"TemplateId","ProductId","Address","ConnectionSystem","ConnectionType","DataStatus","DerivedEndpoints","IsPrivate","LastUpdated","ManagingOrganisationId","Name","SearchField"
"bbf3d06c-16de-4c8d-85e9-30d49dc3a55b","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.416Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  bbf3d06c-16de-4c8d-85e9-30d49dc3a55b ac0 """
"c45831fe-f701-433d-abdf-9d91858f705b","RK5","bars-prod-rk5.nervecentre.thirdparty.nhs.uk","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-05-07T15:20:17.792Z","21b2d67e-0323-4064-8246-118a635d20e9","Sherwood Forest Hospitals","""sherwood forest hospitals bars-prod-rk5.nervecentre.thirdparty.nhs.uk  c45831fe-f701-433d-abdf-9d91858f705b rk5 """
"3b09521a-e180-432c-b2b6-e450389d4d3b","RX7","https://BaRS-PROD-RX7.NWAS.nhs.uk","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","[]","false","2025-07-24T13:07:11.923Z","84b30879-5ba9-461e-b1a3-acf0eb1ebbbd","NWAS","""nwas https://bars-prod-rx7.nwas.nhs.uk  3b09521a-e180-432c-b2b6-e450389d4d3b rx7 """
"0d90fadd-6540-4678-ba04-1706186c5209","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.444Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  0d90fadd-6540-4678-ba04-1706186c5209 ac0 """
"58881eab-226c-48c3-ab77-f978ca0513c3","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.430Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  58881eab-226c-48c3-ab77-f978ca0513c3 ac0 """
"53dd3a14-e0f4-4378-a400-c5754640a971","8hq44","https://bars-prod-8hq44.stratahealth.thirdparty.nhs.uk:3120/bars/","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","[]","false","2025-07-24T13:07:11.923Z","3fa7d44c-ab1f-4543-8d59-5f540b6550a0","StrataHealth","""stratahealth https://bars-prod-8hq44.stratahealth.thirdparty.nhs.uk:3120/bars/  53dd3a14-e0f4-4378-a400-c5754640a971 8hq44 """
"37a27880-85d7-4a68-8750-a21c0369cf5c","ygm06","https://bars-prod-ygm06-pharmoutcomes.emis.thirdparty.nhs.uk","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","[]","false","2025-07-24T13:07:11.923Z","7adf4fb8-da26-4e3e-b68e-3daecb61e7c5","Pharmoutcomes","""pharmoutcomes https://bars-prod-ygm06-pharmoutcomes.emis.thirdparty.nhs.uk  37a27880-85d7-4a68-8750-a21c0369cf5c ygm06 """
"b740b464-6fff-44c7-82e6-eb533e4695d2","ELMS-02","https://BARS-PROD-AC0.advanced.thirdparty.nhs.uk/fhirR4/api/bars","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-02-10T11:40:30.374Z","fd4c460a-e852-4203-908a-934575f924a0","ELMS-TemplateNEW","""elms-templatenew https://bars-prod-ac0.advanced.thirdparty.nhs.uk/fhirr4/api/bars  b740b464-6fff-44c7-82e6-eb533e4695d2 elms-02 """
"0c1cb560-8e3e-4ba7-9187-288d50602c82","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.467Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  0c1cb560-8e3e-4ba7-9187-288d50602c82 ac0 """
"300f5420-6a61-4f22-bdae-f4cc2f7035ce","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.453Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  300f5420-6a61-4f22-bdae-f4cc2f7035ce ac0 """
"a42413d1-89ad-4e10-a564-aeec695bd0e7","8ht86","https://bars-prod-8ht86.fortrus.thirdparty.nhs.uk/","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","[]","false","2025-07-24T13:07:11.923Z","df365a1b-3733-431e-a79a-69574d15f725","Fortrus","""fortrus https://bars-prod-8ht86.fortrus.thirdparty.nhs.uk/  a42413d1-89ad-4e10-a564-aeec695bd0e7 8ht86 """
"8de4e7a4-9aa8-4127-9a40-cd7389431311","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.405Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  8de4e7a4-9aa8-4127-9a40-cd7389431311 ac0 """
"26a1070e-c4d3-4ad3-887d-e63635497bd5","ygm04","https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/FHIR/R4/","https://hl7.org/fhir/ValueSet/endpoint-connection-type","BARS","0","[]","false","2025-07-24T13:07:11.923Z","2f594ac5-6bc8-4241-af41-ae0f92b88949","Cegedim","""cegedim https://bars-prod-ygm04.cegedim.thirdparty.nhs.uk/fhir/r4/  26a1070e-c4d3-4ad3-887d-e63635497bd5 ygm04 """
"4bd91c04-3dbc-42ba-89f2-8755af5dd272","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.425Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  4bd91c04-3dbc-42ba-89f2-8755af5dd272 ac0 """
"b27b258c-31a1-4a50-97c2-7e6f97598fd3","ELMS-01","https://BARS-PROD-AC0.advanced.thirdparty.nhs.uk/fhirR4/api","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-02-10T11:34:09.763Z","c2a80caa-6fa5-415c-bd24-cda69e31333e","ELMS-Template","""elms-template https://bars-prod-ac0.advanced.thirdparty.nhs.uk/fhirr4/api  b27b258c-31a1-4a50-97c2-7e6f97598fd3 elms-01 """
"b27b258c-31a1-4a50-97c2-7e6f97598fd3","to-delete","to-delete","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:32:44.168Z","c2a80caa-6fa5-415c-bd24-cda69e31333e","to-delete","""to-delete to-delete  b27b258c-31a1-4a50-97c2-7e6f97598fd3 to-delete """
"b06ffd79-af7d-4708-98f1-b1ce162683d0","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.449Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  b06ffd79-af7d-4708-98f1-b1ce162683d0 ac0 """
"cd099a9e-0179-40ac-81b6-9df13682da49","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.396Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  cd099a9e-0179-40ac-81b6-9df13682da49 ac0 """
"2515096a-7f50-418d-9820-a86842f97184","AC0","addressHere","http://terminology.hl7.org/CodeSystem/endpoint-connection-type","BARS","0","[]","false","2026-06-22T16:22:44.421Z","006a5fed-30c1-42db-9256-aa033e39692c","""NHS East Lancashire CCG - 01A ""","""nhs east lancashire ccg - 01a  addresshere  2515096a-7f50-418d-9820-a86842f97184 ac0 """
